city,year,case,,,,,,,,,,,,,,,,,,,,,
台南市,2015,100,,,,,,,,,,,,,,,,,,,,,
高雄市,2015,140,,,,,,,,,,,,,,,,,,,,,
屏東縣,2015,61,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2015,13,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2015,27,,,,,,,,,,,,,,,,,,,,,
台東縣,2015,30,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2015,2,,,,,,,,,,,,,,,,,,,,,
金門縣,2015,1,,,,,,,,,,,,,,,,,,,,,
連江縣,2015,0,,,,,,,,,,,,,,,,,,,,,
台北市,2016,204,,,,,,,,,,,,,,,,,,,,,
新北市,2016,319,,,,,,,,,,,,,,,,,,,,,
基隆市,2016,24,,,,,,,,,,,,,,,,,,,,,
桃園市,2016,149,,,,,,,,,,,,,,,,,,,,,
新竹市,2016,26,,,,,,,,,,,,,,,,,,,,,
新竹縣,2016,34,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2016,56,,,,,,,,,,,,,,,,,,,,,
南投縣,2016,63,,,,,,,,,,,,,,,,,,,,,
台中市,2016,191,,,,,,,,,,,,,,,,,,,,,
彰化縣,2016,126,,,,,,,,,,,,,,,,,,,,,
雲林縣,2016,62,,,,,,,,,,,,,,,,,,,,,
嘉義市,2016,20,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2016,56,,,,,,,,,,,,,,,,,,,,,
台南市,2016,267,,,,,,,,,,,,,,,,,,,,,
高雄市,2016,258,,,,,,,,,,,,,,,,,,,,,
屏東縣,2016,117,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2016,53,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2016,21,,,,,,,,,,,,,,,,,,,,,
台東縣,2016,26,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2016,4,,,,,,,,,,,,,,,,,,,,,
金門縣,2016,1,,,,,,,,,,,,,,,,,,,,,
連江縣,2016,0,,,,,,,,,,,,,,,,,,,,,
台北市,2017,138,,,,,,,,,,,,,,,,,,,,,
新北市,2017,184,,,,,,,,,,,,,,,,,,,,,
基隆市,2017,11,,,,,,,,,,,,,,,,,,,,,
桃園市,2017,84,,,,,,,,,,,,,,,,,,,,,
新竹市,2017,9,,,,,,,,,,,,,,,,,,,,,
新竹縣,2017,22,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2017,30,,,,,,,,,,,,,,,,,,,,,
南投縣,2017,41,,,,,,,,,,,,,,,,,,,,,
台中市,2017,108,,,,,,,,,,,,,,,,,,,,,
彰化縣,2017,85,,,,,,,,,,,,,,,,,,,,,
雲林縣,2017,61,,,,,,,,,,,,,,,,,,,,,
嘉義市,2017,20,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2017,45,,,,,,,,,,,,,,,,,,,,,
台南市,2017,162,,,,,,,,,,,,,,,,,,,,,
高雄市,2017,199,,,,,,,,,,,,,,,,,,,,,
屏東縣,2017,72,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2017,35,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2017,22,,,,,,,,,,,,,,,,,,,,,
台東縣,2017,20,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2017,5,,,,,,,,,,,,,,,,,,,,,
金門縣,2017,3,,,,,,,,,,,,,,,,,,,,,
連江縣,2017,1,,,,,,,,,,,,,,,,,,,,,
台北市,2018,151,,,,,,,,,,,,,,,,,,,,,
新北市,2018,135,,,,,,,,,,,,,,,,,,,,,
基隆市,2018,10,,,,,,,,,,,,,,,,,,,,,
桃園市,2018,81,,,,,,,,,,,,,,,,,,,,,
新竹市,2018,15,,,,,,,,,,,,,,,,,,,,,
新竹縣,2018,18,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2018,32,,,,,,,,,,,,,,,,,,,,,
南投縣,2018,36,,,,,,,,,,,,,,,,,,,,,
